discount,customer_id,order_id,city,category,payment_method,order_date,phone,pincode,product_name,quantity,state,total_amount,unit_price,rating
6.0,CUST_,ORD_0036,JAIPUR,Electronics,,2023-03-03,9687443562,11039,Laptop Stand,15,Rajasthan,0.0,1200.0,5.0
0.0,,ORD_090,,Electronics,,2023-05-02,9270581609,24758,Monitor,0,Gujarat,0.0,8500.0,0.0
0.0,CUST_0418,ORD_0132,AHMEDABAD,Furniture,,2024-05-28,9409295639,856856,Office Chair,10,Gujarat,0.0,4500.0,2.0
23.5,00559,ORD_0154,DELHI,Electronics,,2024-01-07,9873195290,57092,Webcam,457,Delhi,0.0,1800.0,0.0
0.0,,ORD_0165,"PUNE,",Electronics,,2023-07-02,9937458376,591254,Webcam,5,Maharashtra,0.0,1800.0,0.0
9.3,#REF!,ORD_0175,,Electronics,,2024-06-02,9383767329,61506,Monitor,2,Telangana,8500.0,8500.0,0.0
-5.0,CUST_,ORD_0194,,Furn,,2023-08-01,9189710853,23474,Bookshelf,3,Maharashtra,32340.0,2200.0,2.0
0.0,#REF!,ORD_0195,UNKNOWN,Accessories,,2023-10-16,9837019153,562904,Phone Holder,15,Maharashtra,0.0,199.0,0.0
16.0,CUST_,ORD_0231,PUNE,Acce,,2024-05-25,9066894874,80479,Laptop Bag,1,Maharashtra,8499150.0,850.0,0.0
11.0,00571,ORD_0239,,Stat,,2024-07-23,9292730651,79654,Notebook,9999,Telangana,45.0,45.0,1.0
150.0,CUST_0599,ORD_0254,,Accessories,,2024-12-31,9115165583,217492,Phone Holder,6,Karnataka,3010.87,199.0,0.0
0.0,00432,ORD_0263,,Stationerys,,2023-11-02,9270495523,672876,Stapler,6,Rajasthan,86.26,85.0,0.0
0.0,CUST_0321,ORD_0269,JAIPUR,Furniture,,2023-04-25,9371560955,44410,Office Chair,9999,Rajasthan,49500.0,4500.0,0.0
30.0,00439,ORD_0275,AHMEDABAD,Electronicss,,2023-11-01,9996662738,57399,HDMI Cable,0,Gujarat,2832.0,120.0,1.0
3.0,CUST_???,ORD_0276,UNKNOWN,Elec,,2023-06-09,9352319771,92524,Keyboard,341,Tamil Nadu,0.75,750.0,0.0
0.0,00211,ORD_0281,UNKNOWN,Elec,,2023-05-19,9242932154,164016,Webcam,198,Delhi,0.0,1800.0,1.0
0.0,CUST_0482,ORD_0296,MUMBAI,Electronics,,2023-01-17,9086016998,537196,Monitor,2,Maharashtra,84991500.0,8500.0,0.0
16.0,CUST_???,ORD_0323,PUNE,Stat,,2023-06-13,9696626974,0,Sticky Notes,0,Maharashtra,75.0,25.0,0.0
0.0,#REF!,ORD_0334,CHENNAI,Electronicss,,2024-12-27,9612844094,18898,Monitor,7,Tamil Nadu,0.0,8500.0,5.0
23.0,CUST_0382,ORD_0340,"CHENNAI,",Electronics,,2023-02-23,9011210562,750969,USB Hub,4,Tamil Nadu,7281171.81,899.0,1.0
150.0,CUST_0313,ORD_0381,KOLKATA,Stationerys,,2023-06-01,9982993545,233655,Pen Set,9,West Bengal,0.0,35.0,5.0
-5.0,CUST_0164,ORD_0384,SURAT,Furn,,2023-12-14,9432936299,0,Standing Desk,9999,Gujarat,2457350.0,9800.0,0.0
-5.0,CUST_0497,ORD_0407,,Furniture,,2024-04-27,9380009031,0,Bookshelf,9999,Karnataka,2310.0,2200.0,3.0
0.0,CUST_0303,ORD_0420,PUNE,Stationery,,2023-03-18,9844805765,711452,Pen Set,18,Maharashtra,0.0,35.0,0.0
150.0,CUST_0492,ORD_0424,,Furniture,,2024-12-31,9371743531,71880,Office Chair,16,Maharashtra,2250.0,4500.0,1.0
0.0,CUST_0297,ORD_0440,UNKNOWN,Furnitures,,2024-12-02,9241485092,693463,Standing Desk,8,Telangana,0.489951,9800.0,1.0
0.0,CUST_???,ORD_0464,PUNE,Electronicss,,2023-09-23,9136015558,482508,HDMI Cable,0,Maharashtra,1199880.0,120.0,0.0
150.0,CUST_0251,ORD_0508,JAIPUR,Furn,,2024-05-18,9168595259,33020,Office Chair,18,Rajasthan,49500.0,4500.0,1.0
6.0,CUST_0289,ORD_0542,BANGALORE,Accessories,,2023-04-22,9772907652,48679,Phone Holder,20,Karnataka,0.0,199.0,0.0
0.0,CUST_???,ORD_0573,"BANGALORE,",Electronics,,2023-04-15,9797042597,48711,HDMI Cable,9999,Karnataka,0.0,120.0,1.0
20.7,CUST_0138,ORD_0594,SURAT,Elec,,2024-06-15,9295226793,0,Desk Lamp,0,Gujarat,637.0,650.0,2.0
15.0,CUST_0162,ORD_0602,KOLKATA,Stationery,,2023-01-17,9455629940,296596,Stapler,4,West Bengal,0.0,85.0,2.0
6.1,CUST_0165,ORD_0643,UNKNOWN,Furn,,2024-06-22,9901168799,0,Standing Desk,5,Rajasthan,97990200.0,9800.0,1.0
0.0,CUST_0521,ORD_0649,"SURAT,",Elec,,2023-03-26,9693477343,0,Laptop Stand,19,Gujarat,0.0,1200.0,1.0
0.0,CUST_,ORD_0662,"CHENNAI,",Furniture,,2023-08-11,9927458727,918563,Bookshelf,253,Tamil Nadu,1826.0,2200.0,0.0
0.0,CUST_0407,ORD_0710,KOLKATA,Acce,,2024-02-21,9800736392,0,Laptop Bag,3,West Bengal,7344.0,850.0,3.0
-5.0,CUST_0575,ORD_0717,"MUMBAI,",Elec,,2024-07-23,9750313797,0,Keyboard,6,Maharashtra,7308.0,750.0,0.0
0.0,CUST_0450,ORD_0729,HYDERABAD,Electronics,,2024-01-03,9678046768,758285,Wireless Mouse,1,Telangana,8920.8,450.0,0.0
20.0,CUST_0469,ORD_0755,"BANGALORE,",Accessories,,2023-03-25,9541789118,598455,Laptop Bag,409,Karnataka,0.0,850.0,1.0
0.0,CUST_0587,ORD_0766,"PUNE,",Furnitures,,2024-03-12,9496270127,450369,Standing Desk,0,Maharashtra,52136.0,9800.0,2.0
0.0,00315,ORD_0777,UNKNOWN,Electronics,,2023-11-18,9720169531,13212,Desk Lamp,13,Telangana,617.5,650.0,0.0
0.0,00315,ORD_0777,UNKNOWN,Electronics,,2023-11-18,9720169531,13212,Desk Lamp,13,Telangana,617.5,650.0,0.0
1.0,,ORD_0796,AHMEDABAD,Stationery,,2024-04-12,9700461754,135308,Pen Set,4,Gujarat,7350.0,35.0,4.0
0.0,00436,ORD_0837,DELHI,Furniture,,2023-01-08,9821323140,420374,Office Chair,9999,Delhi,5310.0,4500.0,1.0
0.0,CUST_0520,ORD_0847,CHENNAI,Electronics,,2024-12-30,9839066110,31817,Monitor,12,Tamil Nadu,0.0,8500.0,0.0
0.0,CUST_???,ORD_0880,JAIPUR,Electronics,,2023-04-12,9281292640,11298,Webcam,3,Rajasthan,1584.0,1800.0,5.0
0.0,CUST_0289,ORD_0882,,Stationery,,2024-12-07,9029348858,257149,Notebook,17,Delhi,0.236,45.0,1.0
9.3,#REF!,ORD_0886,,Stationery,,2023-08-03,9527851473,135459,Notebook,4,Delhi,0.0,45.0,0.0
-5.0,CUST_0460,ORD_0909,PUNE,Stat,,2024-06-16,9075326313,0,Stapler,9999,Maharashtra,637.5,85.0,0.0
0.0,CUST_0151,ORD_0914,,Electronics,,2024-03-24,9507268179,15570,HDMI Cable,1,Rajasthan,1020.0,120.0,4.0
22.0,#REF!,ORD_0929,JAIPUR,Stat,,2023-04-09,9106527410,524994,Stapler,0,Rajasthan,85.0,85.0,3.0
21.0,CUST_,ORD_0931,BANGALORE,Stationery,,2024-08-27,9280555199,81283,Pen Set,3,Karnataka,0.18,35.0,5.0
3.0,#REF!,ORD_0971,BANGALORE,Accessories,,2024-03-26,9617598018,76015,Screen Cleaner,4,Karnataka,1228.5,75.0,0.0
150.0,CUST_0205,ORD_0989,AHMEDABAD,Electronics,,2023-12-12,9029336396,43757,Monitor,17,Gujarat,62806.5,8500.0,5.0
0.0,CUST_0174,ORD_0993,JAIPUR,Electronics,,2024-05-10,9478842244,14557,Desk Lamp,436,Rajasthan,0.0,650.0,5.0
