,discount,unit_price,quantity,order_date,total_amount,customer_id,product_name,pincode,rating,order_id,city,category,payment_method,phone,state
8,10%,899,140,18/09/2023,0.00,CUST_0257,USB Hub,867374,Good,ord_0009, Ahmedabad ,ELECTRONICS,Credit Card,,Gujarat
11,,,,22-Sep-2024,1732.80,CUST_0439,HDMI Cable,582123,2,ORD_0012,"Mumbai,",electronics,Net Banking,,M@h@r@shtr@
13,,4500..,,04-09-2024,38880.00,CUST_0513,Office Chair,148687,0,ORD_0014,Kolkata,FURNITURE,,,West Bengal
22,,4500..,,04-09-2024,38880.00,CUST_0513,Office Chair,148687,,ORD_0014,Kolkata,FURNITURE,,,West Bengal
25,,,,,,,,,,,,,,,
34,11,Rs. 1200.00,,04/12/2024,15960.00,CUST_,Laptop Stand,79724,2,ORD_0033 ,AHMEDABAD,  Electronics  ,,,
35,150,inf,0,01-02-2023,Rs.75,00187,Screen Cleaner,,0,ORD_0034,,accessories,,,karnataka
46,22.1,,,25-04-2024,137.35,CUST_,HDMI Cable  ,,0,ORD_044,  Bangalore,Electronics,wallet,,K@rn@t@k@
47,4.2,850..,0,"Sep 12, 2023",722.50,CUST_,Laptop Bag,298165,,ORD_0045 ,Kolkata,ACCESSORIES, UPI,,
50,-5,45#,151,08-Dec-2024,53.10,#REF!,Notebook,,Good,ORD_048, Jaipur ,STATIONERY,,,R@j@sth@n
68,,Rs. 850.00,3,2024-03-02,1003.00,00125,Laptop Bag,000000,-1,ORD_0066,"Hyderabad,",Acce,,,Tel@ng@n@
70,-5,Rs. 8500.00,-2,2023-01-22,-0.00,00287,Monitor,,0,ord_0068,"Ahmedabad,",Elec,COD,,Guj@r@t
76,,75.00,0,23-Jun-2024,-64.50,CUST_,Screen Cleaner,223302,5 stars,ord_0074,AHMEDABAD,Acce, UPI,,gujarat
94,16,120#,9999,04-Dec-2023,-70.80,CUST_0276,HDMI Cable,034328,6,ord_0091,"Delhi,",Electronicss,NET BANKING,,
96,10%,450,-1,"Oct 23, 2023",3902.85,CUST_???,Wireless Mouse,952144 ,4,ORD_0093,unknown,Electronicss,DEBIT CARD,,Telangana
98,,,,,,,,,,,,,,,
103,24,"$1,200.00",6,1695666600,"$11,998,800.00",CUST_,Laptop Stand,000000,,ORD_0098,mumbai,  Electronics  , Debit Card,,  Maharashtra
113,2,4500..,6,2024-08-07,0.00,00520,Office Chair,047314,1,ord_0108, Surat ,FURNITURE, Debit Card,,gujarat
118,,$750.00,16,21-Dec-2023,Rs.-0,CUST_???,Keyboard,,5 stars,ORD_0113,Ahmedabad,ELECTRONICS,CREDIT CARD,,  Gujarat
122,10%,Rs. 1200.00,-4,29/10/2023,-24000.00,CUST_0365 ,Laptop Stand,076032,5 stars,ORD_0117,AHMEDABAD,electronics,COD,,
124,-5,25..,0,04/01/2024,11225.00,00558,Sticky Notes,573859 ,5 stars,ORD_0118,hyderabad,STATIONERY,Debit Card,,
125,,25,,"Aug 04, 2023",,,Sticky Notes,484502,5 stars,ord_0234,unknown,stationery,UPI,,rajasthan
129,-5,,18,19-07-2024,Rs.846,00520,Phone Holder,57347,-1,ord_0122,HYDERABAD,Acce,,,Telangana
130,0,Rs. 450.00,-2,16-Dec-2023,324.00,CUST_,Wireless Mouse,000000,6,ORD_0123,,electronics,wallet,,  Rajasthan
136,,Rs. 120.00,12,08/03/2023,480.00,00492,HDMI Cable,956278,Good,ORD_0128,,  Electronics  ,Net Banking,,delhi
146,21.7,,,15-Mar-2024,30800.00,CUST_0308,Bookshelf,000000,Good,ORD_0135, Pune ,  Furniture  ,debit card,,Maharashtra
159,150,$899.00,18,1716575400,795.62,CUST_???,USB Hub - Imported,53456,2,ORD_0148 ,,  Electronics  , Credit Card,,
168,10%,1200,,11-04-2024,Rs.948,CUST_,Laptop Stand,501638 ,,ORD_0155 , Kolkata ,electronics,upi,,West Beng@l
170,23.3,8500..,245,15-Jul-2023,8625.80,CUST_0395,Monitor (New),,,ORD_0157,  Hyderabad,Electronics,Credit Card,,Telangana
175,150,inf,9999.0,1720290600,0.00,00522,Standing Desk,274542,0,ORD_0162 ,  Chennai,Furn,,,
180,19,75,0,"Feb 09, 2023",0.00,,Screen Cleaner,054716,5 stars,ORD_0167,jaipur,Acce,COD,,  Rajasthan
183,,25#,212,"Jan 31, 2023",Rs.25,CUST_???,Sticky Notes,15421,5 stars,ORD_0170, Surat ,Stat,WALLET,,
186,10%,899,215,14-08-2024,1060.82,CUST_0499 ,USB Hub,979013,4,ORD_0172,unknown,Electronicss,Net Banking,,Tel@ng@n@
190,22.9,4500#,-4,2024-10-07,314707.50,CUST_,Office Chair,000000,1,ord_0176, Mumbai ,Furniture,UPI,,  Maharashtra
195,150,450#,-4,19/01/2024,-450.00,CUST_0400 ,Wireless Mouse,314222,,ord_0181,"Bangalore,",Elec,COD,,
198,150,$45.00,15,"Feb 22, 2024",422507.75,CUST_???,Notebook,976176,0,ORD_0184,,STATIONERY,CREDIT CARD,,Guj@r@t
