,discount,unit_price,quantity,order_date,total_amount,customer_id,product_name,pincode,rating,order_id,city,category,payment_method,phone,state
15,,650,0,30-Jul-2024,0.00,CUST_,Desk Lamp,,5 stars,ORD_0016 ,,ELECTRONICS,Net Banking,9422202394,
16,23,8500..,7,1705861800,-454750.00,CUST_0215 ,Monitor,,6,ORD_0017,JAIPUR,Electronics, Credit Card,9140455784,  Rajasthan
18,1,650#,,1685385000,8099.00,CUST_,Desk Lamp (New),,-1,ORD_019,kolkata,ELECTRONICS,COD,97937 42364,West Bengal
20,10%,4500.00,493,1733077800,1620000.00,CUST_0252,Office Chair,,2,ORD_0021 ,BANGALORE,Furn, Credit Card,+91 94239 07177,Karnataka
23,,inf,-1,07/12/2024,8514.88,CUST_0328,Bookshelf,,3,ORD_0023 ,  Kolkata,Furniture,CREDIT CARD,+91-99151-03772,
30,22.5,inf,,2024-10-26,0.00,CUST_0332,Desk Lamp,,1,ord_0029,"Hyderabad,",ELECTRONICS,,90887 89909,telangana
32,150,35#,322,12-Feb-2023,$700.00,CUST_0347,Pen Set,,5 stars,ORD_0031,Hyderabad,STATIONERY,,+91-99605-08805,  Telangana
33,19,"$9,800.00",,18/10/2024,Rs.97990200,CUST_0358,Standing Desk,,,ORD_0032,ahmedabad,Furnitures,,9940042915,  Gujarat
41,,899#,-2,2023-05-27,,CUST_,USB Hub,,3,ord_0039,  Kolkata,Electronics,UPI,9228516794,
43,16.2,8500#,9999,2023-06-24,40120.00,CUST_0196,Monitor,,5 stars,ord_0041, Chennai ,Elec,wallet,09887189471,
49,,850.00,-1,2023-08-19,0.00,,Laptop Bag,,0,ORD_0047, Mumbai ,Accessoriess,,9050515558,Maharashtra
51,14,450.00,468,2024-01-05,557.55,CUST_0278,Wireless Mouse,,2,ORD_0049,PUNE,electronics, UPI,+91-91860-73438,  Maharashtra
53,2,8500,11,30-Sep-2024,2601000.00,CUST_???,Monitor,,6,ORD_0051 ,,Elec,WALLET,+91 99994 61140,
54,20,$750.00,19.0,"Oct 01, 2023",-375.00,#REF!,Keyboard,,,ord_0052,unknown,  Electronics  ,COD,9178495444,Delhi
55,,85.0,,1711391400,0.00,CUST_0147,Stapler,,6,ORD_0053,SURAT,Stat,Credit Card,91916 59996,Gujarat
57,20,Rs. 4500.00,18.0,1717093800,4354.20,CUST_???,Office Chair,,4,ORD_0055,Kolkata,furniture,wallet,+91 97256 98373,west bengal
58,19,1800,5,28-05-2024,Rs.0,CUST_0406,Webcam,,-1,ORD_0056 ,unknown,ELECTRONICS,,919854225723,Tel@ng@n@
