,discount,unit_price,quantity,order_date,total_amount,customer_id,product_name,pincode,rating,order_id,city,category,payment_method,phone,state
0,20,Rs. 120.00,,2023-09-26,-2280.00,CUST_0544,HDMI Cable,499100 ,Good,ORD_01,,electronics,credit card,9782111511,tamil nadu
4,-5,Rs. 650.00,,05/09/2024,$520.00,CUST_0187,Desk Lamp,71071,,ORD_0005,"Chennai,",  Electronics  ,,+91-93885-07486,Tamil Nadu
19,,8500..,,1732645800,6460.00,CUST_0579,Monitor,33819,6,ORD_0020,,electronics,UPI,09859700551,T@mil N@du
28,,45,,1713897000,33.75,#REF!,Notebook - Imported,000000,6,ORD_0027 ,,Stationery,Debit Card,9806122190,  Delhi
29,,$120.00,,2024-11-21,103.20,CUST_???,HDMI Cable,733706,5 stars,ORD_0028,  Bangalore,electronics,,919949052548,
36,,45,,1713897000,33.75,#REF!,Notebook - Imported,000000,6,ORD_0027 ,,,Debit Card,9806122190,  Delhi
37,6.8,1800.0,,1685989800,$-900.00,CUST_???,Webcam  ,81962,-1,ORD_0035,jaipur,ELECTRONICS,DEBIT CARD,919119417577,
44,,,,2024-10-29,0.00,CUST_0559,Keyboard,652479,5 stars,ORD_0042 , Chennai ,electronics,Debit Card,09745012106,tamil nadu
63,,75.00,,06-Jan-2024,79.65,CUST_???,Screen Cleaner,674308,-1,ORD_0061,kolkata,Acce,NET BANKING,+91 95323 79480,
79,150,Rs. 750.00,,16-Nov-2024,0.00,CUST_0399 ,Keyboard,083277,,ORD_0076,unknown,Elec,UPI,9535958904,  Delhi
82,9,Rs. 75.00,,27/11/2024,382.50,CUST_,Screen Cleaner,024888,3,ORD_0079,"Hyderabad,",accessories,credit card,+91-92041-45604,Tel@ng@n@
87,-5,$35.00,,08-Jan-2024,-315.00,CUST_0126,Pen Set,082363,,ORD_0084,unknown,Stationerys,WALLET,+91 98143 81587,Tel@ng@n@
106,10%,1200.0,,"Oct 16, 2024",15600.00,,Laptop Stand,000000,5 stars,ORD_0101,SURAT,Electronics,,+91 91332 93927,gujarat
110,26,$450.00,,20/03/2023,,00227,Wireless Mouse,089328,5 stars,ord_0105,unknown,Electronics,wallet,919566310771,Maharashtra
127,-5,$85.00,,2024-11-27,773422.65,CUST_,Stapler - Imported,560929 ,1,ORD_0120 ,jaipur,STATIONERY,,919202501335,R@j@sth@n
128,-5,$199.00,,10/12/2023,0.00,00519,Phone Holder,129841,,ORD_0121,,Accessories,,97785 64119,Delhi
143,150,850#,,25-Jul-2024,0.00,CUST_0140 ,Laptop Bag,967192,0,ORD_0606 ,  Jaipur,accessories, Credit Card,+91-92660-92217,  Rajasthan
158,2,2200..,,24-Dec-2024,Rs.8800,,Bookshelf,35870,Good,ORD_0147 ,SURAT,FURNITURE,,919476253794,Guj@r@t
163,10%,450,,17-04-2024,4499550.00,00553,Wireless Mouse,669668,,ORD_0151,Surat,electronics,,+91 98395 13183,
213,150,,,09-Mar-2023,8640.00,CUST_,Laptop Stand,939137 ,0,ord_0197,,Elec,WALLET,919686680685,tamil nadu
217,22,inf,,2024-06-19,8640.00,CUST_0155,Webcam,22643,5,ord_0201,  Chennai,  Electronics  ,,+91 94632 17188,
236,-5,899#,,1677004200,Rs.9925,CUST_???,USB Hub,223399,6,ORD_0219,"Surat,",  Electronics  ,,96188 17828,
247,14,,,30-Aug-2023,Rs.57600,CUST_0272,HDMI Cable,096594,1,ORD_0230 ,jaipur,  Electronics  ,UPI,09287896922,Rajasthan
259,14,45.00,,16-05-2023,449955.00,CUST_0554,Notebook,365840,6,ORD_0242,ahmedabad,STATIONERY,,91172 45472,  Gujarat
262,10%,Rs. 8500.00,,27-04-2024,-76492350.00,#REF!,Monitor,023536,-1,ORD_0245,"Delhi,",Electronicss, COD,94641 21078,  Delhi
268,,"$4,500.00",,09-Oct-2023,1452532.50,CUST_0176 ,Office Chair,000000,5 stars,ORD_0250,mumbai,Furn,,+91 92386 39310,
271,6.8,1800.0,,1685989800,$-900.00,CUST_???,Webcam  ,81962,-1,ORD_0035,jaipur,ELECTRONICS,DEBIT CARD,919119417577,
284,,,,1720722600,-1222.00,#REF!,Desk Lamp,760885 ,1,ORD_0265,MUMBAI,Electronics, Wallet,92444 66381,Maharashtra
298,,Rs. 750.00,,"Jan 06, 2023",Rs.12000,CUST_0300,Keyboard,841704,,ord_0279,Delhi,Electronics,COD,+91-92220-58574,
302,,$199.00,,21-07-2024,0.00,CUST_???,Phone Holder,925038 ,0,ORD_0283,"Chennai,",accessories,Wallet,09354390782,Tamil Nadu
316,-5,4500#,,23/01/2024,41944805.10,CUST_,Office Chair,70497,6,ORD_0297 ,"Chennai,",  Furniture  , Wallet,09102173967,
318,30.3,25..,,"Jan 06, 2024",Rs.-0,CUST_???,Sticky Notes,973257,,ORD_0299,  Bangalore,STATIONERY,,919296675162,karnataka
322,-5,1800..,,1708713000,Rs.1386,CUST_0455,Webcam,059792,,ORD_0303,unknown,Electronicss,,92386 96659,Gujarat
334,150,750#,,09-05-2023,,00360,Keyboard,073671,,ORD_0314,,ELECTRONICS,COD,97793 26875,
342,,1200.0,,1735065000,0.00,CUST_0434 ,Laptop Stand,41435,,ORD_0321,"Mumbai,",electronics, Net Banking,+91 94665 80179,  Maharashtra
343,9.1,"$1,800.00",,27-01-2024,19008.00,,Webcam,000000,Good,ORD_0322,SURAT,electronics,debit card,09999045577,  Gujarat
349,,750.0,,2023-05-03,0.00,CUST_0279,Keyboard,387222,,ORD_0328,MUMBAI,  Electronics  ,credit card,+91 91606 90015,  Maharashtra
