,discount,unit_price,quantity,order_date,total_amount,customer_id,product_name,pincode,rating,order_id,city,category,payment_method,phone,state
21,,45,114.0,2023-04-29,225.00,CUST_0577,Notebook,115881 ,6,ord_0022, Jaipur ,STATIONERY,wallet,96613 31719,Rajasthan
24,20,$199.00,175,27-05-2023,1711228.86,CUST_???,Phone Holder,488454 ,Good,ORD_0024,"Hyderabad,",Acce,Credit Card,97106 03567,Telangana
39,26,450..,12,1699554600,-450.00,CUST_???,Wireless Mouse,000000,5 stars,ord_0037,  Chennai,  Electronics  , Debit Card,9698946155,T@mil N@du
42,14.2,8500.00,292,"Apr 09, 2024",17850.00,#REF!,Monitor,603937,Good,ORD_0040,JAIPUR,electronics,,919027259878,R@j@sth@n
56,-5,9800..,-1,"Feb 06, 2024","$76,432,356.00",CUST_0594,Standing Desk,918261,5 stars,ORD_0054,delhi,Furn,,+91 93343 06874,Delhi
86,21.4,Rs. 199.00,-2,25/09/2024,690.37,CUST_0525,Phone Holder,22177,6,ORD_0083, Chennai ,Accessories,CREDIT CARD,99017 17776,Tamil Nadu
97,150,450#,9999,1685385000,3959604.00,CUST_,Wireless Mouse,469543,5 stars,ORD_0094 , Delhi ,Electronics, Credit Card,+91-96219-32521,Delhi
116,25.8,Rs. 9800.00,16,03-10-2023,34692.00,,Standing Desk,000000,6,ORD_0111, Bangalore ,Furn,Net Banking,919623233015,K@rn@t@k@
135,,199.0,20,2024-04-05,924.36,,Phone Holder,366298 ,Good,ORD_0127,  Delhi,  Accessories  ,,+91-90306-78755,  Delhi
142,,199.0,20,2024-04-05,924.36,,Phone Holder,366298 ,Good,ORD_0127,  Delhi_dup,  Accessories  ,,+91-90306-78755,  Delhi
149,-5,25,0,1696789800,Rs.249975,CUST_0446,Sticky Notes,000000,6,ORD_0138,Delhi,Stat,UPI,+91-98851-15238,Delhi
173,29,35.00,5,01/09/2023,Rs.433,CUST_0545,Pen Set,085966,Good,ORD_0160,  Hyderabad,Stat,,919439079448,Telangana
184,,850,17.0,02/06/2024,3400.00,CUST_0581,Laptop Bag,845523,5 stars,ORD_0171,,Acce,NET BANKING,+91 95012 21135,karnataka
187,,85.00,17,"Nov 14, 2024",Rs.85,CUST_0467,Stapler,571759,5 stars,ORD_0173, Kolkata ,STATIONERY,WALLET,09950420400,West Bengal
220,29,25,275,02/06/2023,-4212.50,,Sticky Notes,740495,Good,ORD_0204 ,  Jaipur,STATIONERY,net banking,9489136386,Rajasthan
222,150,9800.0,-2,11-04-2023,0.00,CUST_???,Standing Desk,000000,Good,ORD_0206, Pune ,furniture,COD,96964 66232,M@h@r@shtr@
227,,199.0,-4,31-Mar-2023,Rs.1393,CUST_0169,Phone Holder,823031 ,5 stars,ord_0211,JAIPUR,Acce,,9420645618,Rajasthan
231,9,4500.00,10.0,"Oct 04, 2024",0.00,CUST_0280,Office Chair,428142 ,5 stars,ORD_0215 ,  Ahmedabad,FURNITURE,,95642 28178,Gujarat
249,150,$199.00,397,02-Dec-2024,-994900.50,#REF!,Phone Holder,288708 ,6,ORD_0232,Jaipur,Acce,COD,9517913151,rajasthan
254,26,199.0,19.0,25/10/2023,0.00,CUST_0169 ,Phone Holder  ,000000,5 stars,ORD_0237,,Acce, COD,+91-96823-15805,Delhi
260,28,199..,16,24-Apr-2024,Rs.199,CUST_0284 ,Phone Holder,963528 ,6,ORD_0243,"Jaipur,",Accessories,cod,97162 67935,Rajasthan
