,discount,unit_price,quantity,order_date,total_amount,customer_id,product_name,pincode,rating,order_id,city,category,payment_method,phone,state
1,,750#,4,26/09/2023,Rs.622,00131,Keyboard (New),380320 ,0,ORD_02,PUNE,Electronicss,WALLET,919271224104,
6,6.4,$650.00,9999,"Sep 20, 2023",650.00,#REF!,Desk Lamp,000000,Good,ord_0007,,Elec,,09011353846,
7,26.9,inf,494,04/06/2023,0.00,#REF!,Sticky Notes,40324,-1,ord_0008,Delhi,Stationery,,919830413723,
9,,45..,-3,1718217000,0.00,#REF!,Notebook,843918,5 stars,ord_0010,  Mumbai,  Stationery  ,,9614478953,
10,,25#,103,25-May-2024,,CUST_???,Sticky Notes,054080,1,ORD_0011,  Chennai,Stationerys,DEBIT CARD,99340 39267,
14,30,,0,"Dec 20, 2024",-85.00,CUST_0390,Stapler,18023,,ORD_015,Mumbai,Stationery,wallet,919070520025,
17,-5,,6,2023-08-27,367463.25,CUST_0173,Pen Set,431731,Good,ord_0018,pune,stationery,debit card,+91-91130-75994,
40,,35.0,7,12/05/2024,,#REF!,Pen Set,168143,2,ORD_0038,unknown,  Stationery  ,,98651 61150,
45,,85.00,9.0,1717698600,Rs.446,CUST_0266,Stapler,733972,2,ord_0043,"Surat,",Stationery,Wallet,+91-93543-47918,
59,150,Rs. 199.00,0,1714069800,-75222.00,,Phone Holder,986756,-1,ORD_0057,Bangalore,  Accessories  ,upi,+91-93192-56249,
62,,inf,0,2023-11-21,128.86,CUST_0268,Pen Set,048770,Good,ORD_0060,mumbai,stationery,WALLET,919387630653,
65,26.0,899,312,18-Jan-2024,Rs.205871,,USB Hub,387827,1,ORD_0063,unknown,Electronics,Wallet,919127403147,
66,10%,$35.00,12,1733682600,Rs.35,CUST_,Pen Set,434023,,ORD_0064 ,  Delhi,stationery,UPI,+91-98198-37610,
73,5.7,,13,13/01/2024,35720.96,CUST_???,Bookshelf,920383,5 stars,ORD_071,"Mumbai,",furniture,,9549092447,
75,10%,$199.00,0,29/09/2024,2985.00,CUST_0172,Phone Holder,839069 ,-1,ORD_073,,ACCESSORIES,Credit Card,+91 99477 71094,
92,150,,466.0,18-Jul-2023,0.00,CUST_???,Stapler,026577,,ORD_0089,,Stationerys,,09592642430,
101,10%,750#,-4,10-06-2024,11735.10,CUST_0347,Keyboard,68629,,ord_0462,jaipur,Elec,UPI,+91-97225-54597,
102,5.6,120.00,9,31-Mar-2024,0.00,CUST_0434,HDMI Cable,274056 ,,ORD_097,Mumbai,ELECTRONICS,Debit Card,97728 29467,
107,-5,$45.00,331,1674844200,0.00,CUST_,Notebook,17995,0,ORD_0102 ,kolkata,Stationery,,9971673400,
111,,120,9999,"Apr 09, 2023",$0.00,CUST_0267,HDMI Cable - Imported,573536,6,ord_0106, Bangalore ,  Electronics  ,Credit Card,9161555849,
134,150,9800#,20,06-Jan-2023,"$29,400.00",CUST_,Standing Desk  ,146291 ,6,ORD_0126,bangalore,FURNITURE,Net Banking,+91-91009-83116,
138,150,75,4,2023-11-25,-112.50,CUST_0400 ,Screen Cleaner,521820,5,ORD_0130 ,Pune,  Accessories  ,Debit Card,9260121776,
140,,8500.00,12,2024-06-23,0.00,#REF!,Monitor,628753 ,2,ORD_0415, Hyderabad ,electronics,,+91-91253-11574,
144,,"$1,800.00",0,05-Mar-2024,0.00,CUST_0127,Webcam,843415 ,1,ORD_0133,unknown,Elec,UPI,+91 98175 49171,
